method,score
A,21.4901424590337
A,19.585207096486446
A,21.94306561430208
A,24.569089569224076
A,19.29753987582999
A,19.29758912915246
A,24.737638446522176
A,22.302304187458727
A,18.591576842195146
A,21.627680130757895
A,18.609746921562614
A,18.60281073928923
A,20.725886814698104
A,14.260159266026607
A,14.825246502460901
A,18.313137412277083
A,16.961506638996728
A,20.94274199778582
A,17.27592777343637
A,15.763088895994127
A,24.39694630676466
A,19.322671098540393
A,20.20258461406377
A,15.72575544135963
A,18.36685182642445
A,20.3327677691296
A,16.54701926773309
A,21.127094055037016
A,18.198083930243584
A,19.124918750620168
A,18.194880163311808
A,25.556834553526812
A,19.9595083257862
A,16.8268672131323
A,22.467634736309567
A,16.337469050086934
A,20.626590785014265
A,14.120989628360674
A,16.015441853304708
A,20.590583707607372
A,22.215399739986232
A,20.51410484356991
A,19.65305515283528
A,19.096688913232132
A,15.564434028897718
A,17.840467374815873
A,18.618083687120638
A,23.171366678656746
A,21.030854868705383
A,14.710879533911799
A,20.972251908184386
A,18.84475315875105
A,17.969233999082125
A,21.835028866522602
A,23.092998567487854
A,22.793840357348596
A,17.482347430332084
A,19.072362872446355
A,20.99379029421069
A,22.926635381367078
A,18.56247728646413
A,19.44302307000855
A,16.680995077981915
A,16.411380127757987
A,22.437577467182592
A,24.06872008571247
A,19.783969635258998
A,23.010598693676073
A,21.084908075142902
A,18.06464073618463
A,21.084186816525243
A,24.614109699397908
A,19.892521882670145
A,24.693930967442018
A,12.140764687730767
A,22.465707513125672
A,20.261141204714512
A,19.102977948602398
A,20.275282329606508
A,14.037293256197321
A,19.340984336487463
A,21.07133771453524
A,24.433682134224547
A,18.44518934517906
A,17.574519191320437
A,18.49472886924639
A,22.746206353106224
A,20.986253328979053
A,18.410719388698883
A,21.539802299340067
A,20.291232648044122
A,22.90593497159867
A,17.893840718367944
A,19.017013560206696
A,18.823675540603528
A,15.609455155603644
A,20.88836083119373
A,20.783165816539668
A,20.015340369927383
A,19.29623859987456
B,19.338517031798343
B,23.317418708938565
B,23.62914193389292
B,21.790890923113523
B,24.354857153335963
B,26.616203427258153
B,32.54474360484212
B,25.698311251327357
B,26.030201562891058
B,24.70221633693533
B,17.324915138803835
B,24.893944498203133
B,25.240920839764104
B,34.852968449941145
B,24.23055614087551
B,26.20618936933445
B,24.861152921179027
B,20.32528784952187
B,29.571291258060082
B,28.007732130747097
B,28.164127788172188
B,21.362450180821043
B,30.611177243744397
B,19.392595748830878
B,27.34742837520108
B,33.76182250323991
B,21.037854699477247
B,22.734809081588914
B,25.398605460350566
B,22.986097383535203
B,18.79734627573547
B,25.274251899224108
B,20.75078514509558
B,26.894369722540727
B,21.322303063064787
B,31.19973762007016
B,21.86698683065505
B,23.7117539351773
B,28.25406886947868
B,20.07654273426418
B,25.90983973841652
B,30.228571017129713
B,18.57006706175509
B,25.73853543412922
B,26.039531176993695
B,28.12729148710924
B,20.052197156487672
B,19.718173547662893
B,27.08776626246759
B,26.187938692932743
B,26.001971401383507
B,26.385792837987903
B,22.279901113686037
B,25.929014788644015
B,26.172289893194726
B,22.14259432789453
B,32.46309804457903
B,26.89533168364715
B,20.234786011189406
B,27.62621443453532
B,21.101273319090716
B,28.148338414969807
B,29.634382316029615
B,21.717270726593156
B,28.85350451697729
B,26.65112370774599
B,28.28824063997796
B,32.58717193061579
B,24.018447535988518
B,21.985055342570043
B,21.44194228149791
B,21.736758860138245
B,24.691593162343583
B,26.364607899266577
B,26.106763197320078
